               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.034636,           0.0076808,           0.0044354,             0.88822,             0.95358,             0.94563,             0.61724,            0.030571,           0.0068624,           0.0059562,            0.006106,            0.006106,            0.006106
                  61,            0.030924,           0.0077429,           0.0048983,             0.81286,             0.88095,             0.91863,             0.53962,            0.031214,           0.0069968,           0.0054892,             0.00604,             0.00604,             0.00604
                  62,            0.032861,           0.0074989,           0.0037515,             0.88456,             0.94758,             0.95896,             0.49891,            0.031453,            0.006674,           0.0040761,            0.005974,            0.005974,            0.005974
                  63,            0.030554,           0.0073899,           0.0031246,             0.69174,             0.96826,              0.8558,             0.46474,            0.032925,           0.0066698,           0.0034881,            0.005908,            0.005908,            0.005908
                  64,            0.032616,           0.0072804,           0.0029096,             0.88712,             0.98591,             0.95386,             0.54807,            0.027109,           0.0066178,           0.0035045,            0.005842,            0.005842,            0.005842
                  65,            0.033035,           0.0073311,           0.0034095,             0.68986,             0.95956,             0.87743,             0.48954,            0.034114,           0.0068966,           0.0036114,            0.005776,            0.005776,            0.005776
                  66,             0.03242,           0.0075087,           0.0041636,             0.68874,             0.94198,             0.94405,             0.51785,            0.034758,           0.0069247,           0.0046155,             0.00571,             0.00571,             0.00571
                  67,            0.032914,           0.0076279,           0.0036957,             0.82168,             0.88558,             0.94323,             0.53985,            0.033517,           0.0066184,           0.0046575,            0.005644,            0.005644,            0.005644
                  68,            0.031185,           0.0072534,           0.0037776,             0.80322,              0.9693,             0.94297,             0.61116,            0.030367,           0.0066836,           0.0041892,            0.005578,            0.005578,            0.005578
                  69,            0.030047,           0.0071559,           0.0035444,             0.81594,             0.88951,             0.95625,             0.64871,            0.035305,           0.0068268,           0.0042179,            0.005512,            0.005512,            0.005512
                  70,            0.038528,           0.0072676,           0.0038939,             0.77007,             0.91152,             0.88721,             0.47886,             0.04169,            0.006811,           0.0042571,            0.005446,            0.005446,            0.005446
                  71,            0.036354,           0.0076425,           0.0036888,              0.7279,             0.91978,             0.86947,             0.50858,            0.039144,           0.0069722,           0.0038345,             0.00538,             0.00538,             0.00538
                  72,            0.036169,           0.0070868,           0.0038159,             0.81812,             0.96013,             0.97968,             0.67013,            0.033785,           0.0065637,           0.0045388,            0.005314,            0.005314,            0.005314
                  73,            0.033848,           0.0071315,             0.00385,             0.91954,             0.97136,             0.97958,             0.66908,            0.032187,           0.0066133,           0.0053545,            0.005248,            0.005248,            0.005248
                  74,            0.032579,           0.0074719,           0.0041481,             0.76987,             0.98167,             0.94158,             0.62933,            0.031655,           0.0067701,           0.0038908,            0.005182,            0.005182,            0.005182
                  75,            0.031407,            0.007514,           0.0034878,              0.7984,             0.97383,             0.97001,             0.66367,            0.031408,           0.0068157,           0.0033899,            0.005116,            0.005116,            0.005116
                  76,            0.033533,           0.0071761,           0.0032769,             0.85876,             0.97121,             0.98166,             0.68205,            0.032991,            0.006907,           0.0031069,             0.00505,             0.00505,             0.00505
                  77,            0.033224,           0.0074047,            0.003176,             0.90877,             0.97655,             0.96861,             0.62829,            0.032043,           0.0067482,           0.0033492,            0.004984,            0.004984,            0.004984
                  78,            0.029699,           0.0071981,           0.0034639,             0.82227,             0.93943,             0.98131,             0.51234,            0.033086,           0.0069077,           0.0037688,            0.004918,            0.004918,            0.004918
                  79,            0.030308,           0.0070536,            0.003739,             0.76673,             0.98193,             0.96283,             0.58711,            0.033007,           0.0066556,           0.0038946,            0.004852,            0.004852,            0.004852
                  80,            0.030139,           0.0070791,           0.0029945,             0.90163,             0.98044,             0.98882,             0.65669,             0.02846,           0.0066338,           0.0034447,            0.004786,            0.004786,            0.004786
                  81,            0.028819,           0.0070448,           0.0028822,             0.85147,             0.97367,             0.95212,             0.59444,            0.030062,           0.0066627,           0.0032775,             0.00472,             0.00472,             0.00472
                  82,            0.032571,            0.007087,           0.0030186,             0.75549,             0.96909,              0.9631,              0.6129,            0.031171,           0.0066641,            0.003468,            0.004654,            0.004654,            0.004654
                  83,            0.027989,           0.0069149,           0.0032024,             0.79493,             0.97973,             0.95925,             0.64409,            0.030409,           0.0065934,           0.0034923,            0.004588,            0.004588,            0.004588
                  84,            0.029365,           0.0069269,           0.0028811,               0.965,             0.97302,             0.97997,             0.70282,            0.029171,           0.0063962,           0.0034671,            0.004522,            0.004522,            0.004522
                  85,            0.027846,           0.0067227,           0.0031087,             0.94749,             0.95482,             0.98865,             0.67247,            0.028494,           0.0063922,           0.0036253,            0.004456,            0.004456,            0.004456
                  86,            0.028387,           0.0068867,           0.0032193,             0.90989,             0.96802,             0.97813,             0.60485,            0.028691,              0.0069,           0.0038765,             0.00439,             0.00439,             0.00439
                  87,            0.029028,           0.0068067,           0.0030386,             0.91001,             0.96157,             0.98043,             0.66097,            0.030544,             0.00643,           0.0034306,            0.004324,            0.004324,            0.004324
                  88,            0.027369,           0.0066857,           0.0027843,             0.94524,             0.97378,             0.99045,             0.69508,            0.028878,           0.0063342,            0.003291,            0.004258,            0.004258,            0.004258
                  89,            0.028102,           0.0067282,           0.0028418,              0.8899,             0.96226,             0.98586,             0.61425,            0.028043,           0.0066403,             0.00311,            0.004192,            0.004192,            0.004192
                  90,            0.031577,           0.0071229,           0.0029093,             0.83509,             0.96612,             0.98436,             0.55105,            0.030263,           0.0066276,           0.0031125,            0.004126,            0.004126,            0.004126
                  91,            0.028442,           0.0069023,           0.0032073,             0.80468,             0.97367,             0.95845,             0.50338,            0.032494,           0.0065157,           0.0035325,             0.00406,             0.00406,             0.00406
                  92,            0.028965,           0.0068848,           0.0031314,             0.90981,             0.99239,             0.98485,             0.63953,            0.027983,           0.0064166,           0.0034622,            0.003994,            0.003994,            0.003994
                  93,            0.026039,            0.006697,           0.0031666,             0.97778,             0.98857,             0.98806,              0.6573,            0.027762,            0.006486,           0.0033097,            0.003928,            0.003928,            0.003928
                  94,            0.025922,            0.006554,           0.0027604,             0.80353,             0.99331,             0.99007,             0.59731,            0.030607,           0.0066223,           0.0031086,            0.003862,            0.003862,            0.003862
                  95,            0.026308,           0.0066495,           0.0027586,             0.83536,             0.97118,             0.98938,             0.68304,            0.027011,           0.0065207,           0.0029008,            0.003796,            0.003796,            0.003796
                  96,            0.028206,           0.0067898,            0.002541,             0.95576,             0.97516,             0.98836,             0.69158,            0.028981,           0.0064816,           0.0027554,             0.00373,             0.00373,             0.00373
                  97,            0.027782,           0.0069949,           0.0025598,             0.90782,             0.91534,             0.98033,             0.55578,            0.028573,           0.0065615,           0.0030445,            0.003664,            0.003664,            0.003664
                  98,            0.026465,           0.0066739,           0.0031807,              0.8424,             0.97902,             0.98761,             0.61791,            0.028354,           0.0065456,           0.0035464,            0.003598,            0.003598,            0.003598
                  99,            0.026641,           0.0067798,           0.0033285,             0.89771,             0.99429,             0.98973,              0.6739,            0.026472,           0.0064003,           0.0037332,            0.003532,            0.003532,            0.003532
                 100,            0.025789,           0.0065904,           0.0029443,             0.97494,             0.98046,              0.9907,             0.66166,            0.028533,           0.0064331,           0.0034596,            0.003466,            0.003466,            0.003466
                 101,            0.027013,           0.0066106,           0.0027051,             0.85414,             0.98344,             0.98211,             0.65655,            0.029363,           0.0065138,           0.0031006,              0.0034,              0.0034,              0.0034
                 102,            0.024695,           0.0064437,           0.0026565,             0.98937,             0.98465,             0.99166,             0.71212,            0.026097,           0.0063269,           0.0031347,            0.003334,            0.003334,            0.003334
                 103,            0.023084,           0.0063168,           0.0030494,             0.78204,             0.92178,             0.97892,             0.56955,            0.027904,           0.0064058,           0.0032366,            0.003268,            0.003268,            0.003268
                 104,            0.024069,            0.006486,           0.0027907,             0.92032,             0.98984,             0.98557,             0.66271,            0.026015,           0.0063278,           0.0030726,            0.003202,            0.003202,            0.003202
                 105,             0.02482,           0.0063577,           0.0024576,              0.9766,             0.97725,             0.99205,             0.70699,            0.025686,           0.0061945,            0.002821,            0.003136,            0.003136,            0.003136
                 106,            0.022016,           0.0062299,           0.0024583,             0.97186,             0.98798,             0.99035,              0.7049,            0.027099,           0.0061819,           0.0026702,             0.00307,             0.00307,             0.00307
                 107,            0.021181,            0.006154,           0.0025714,             0.98866,             0.99206,             0.99211,             0.69401,             0.02487,           0.0061957,           0.0024166,            0.003004,            0.003004,            0.003004
                 108,            0.024998,           0.0061508,           0.0020999,             0.98686,              0.9892,             0.99157,              0.7272,            0.025898,           0.0062111,           0.0022636,            0.002938,            0.002938,            0.002938
                 109,            0.021714,           0.0060496,           0.0020784,             0.89481,             0.99282,             0.97922,             0.67333,            0.025651,           0.0063374,           0.0023875,            0.002872,            0.002872,            0.002872
                 110,            0.021297,           0.0059317,           0.0021262,             0.98516,             0.99062,              0.9918,             0.60345,            0.026386,           0.0063514,           0.0022925,            0.002806,            0.002806,            0.002806
                 111,             0.02141,           0.0060004,           0.0019663,             0.99226,             0.99243,             0.99257,             0.71047,            0.025492,           0.0062411,           0.0021842,             0.00274,             0.00274,             0.00274
                 112,            0.024436,           0.0061666,           0.0019378,             0.98456,             0.99221,             0.99207,             0.73106,            0.027261,           0.0060747,           0.0023155,            0.002674,            0.002674,            0.002674
                 113,            0.021109,           0.0060564,           0.0021197,             0.98839,             0.99302,             0.99209,             0.70022,             0.02565,           0.0061727,           0.0023863,            0.002608,            0.002608,            0.002608
                 114,            0.019669,           0.0059093,           0.0021061,             0.98977,             0.99103,             0.99208,             0.70367,            0.025195,           0.0062424,            0.002181,            0.002542,            0.002542,            0.002542
                 115,            0.021874,            0.006036,           0.0019514,             0.97955,             0.99083,              0.9918,             0.61661,            0.027554,           0.0064255,           0.0020909,            0.002476,            0.002476,            0.002476
                 116,            0.023485,           0.0062907,           0.0019686,              0.9853,             0.98447,             0.99197,             0.70219,            0.025988,           0.0062619,            0.002025,             0.00241,             0.00241,             0.00241
                 117,            0.022638,           0.0061232,           0.0019337,             0.98801,             0.98799,             0.98951,             0.69021,            0.026072,           0.0063008,            0.002106,            0.002344,            0.002344,            0.002344
                 118,            0.022018,           0.0059129,           0.0020049,             0.96163,             0.96303,             0.99209,             0.62858,            0.027673,           0.0064428,           0.0023161,            0.002278,            0.002278,            0.002278
